date,Total_Portfolio_Value,daily_pf_return,index_fund,total_stock_value,Cash_In_Hand,cash_pct,APL Apollo Tubes,AU Small Finance,Aarti Industries,Anand Rathi Wea.,Axis Bank,B P C L,Bharat Forge,Blue Dart Expres,Dr Reddy's Labs,FSN E-Commerce,Federal Bank,Guj.St.Petronet,Gujarat Gas,HDFC AMC,ICICI Bank,ICICI Lombard,IRB Infra.Devl.,IndusInd Bank,J B Chemicals &,JK Tyre & Indust,JSW Steel,Kotak Mah. Bank,Linde India,Marico,Max Financial,Phoenix Mills,Power Fin.Corpn.,Reliance Industr,SBI Life Insuran,Sona BLW Precis.,TVS Motor Co.,Tata Power Co.,The Ramco Cement,Trident,UltraTech Cem.,United Breweries,index_value,daily_index_return
2026-02-16,1000000000.0000004,,1000000000.0,1000000000.0000004,0.0,0.0,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,37500.33,
2026-02-17,1000000000.0000004,0.0,1002886641.2642235,1000000000.0000004,0.0,0.0,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,37608.58,0.002886641264223444
2026-02-18,1000000000.0000004,0.0,1007538866.9913037,1000000000.0000004,0.0,0.0,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777776,27777777.777777772,27777777.777777776,37783.04,0.004638835074336711
2026-02-19,988100901.3736266,-0.011899098626373728,992696597.6032743,988100901.3736266,0.0,0.0,27458694.351664655,27955064.974821035,27635884.395891473,27957209.88333417,27623701.39657783,27108033.233467605,27907935.732886903,27104256.336681012,27867605.685366128,27216075.1151623,27656266.42701334,27296028.922284987,27325644.38855674,26728414.414564688,27377602.584992606,27768694.13331036,26922571.377491385,27400557.955120128,27896791.963638388,26988966.908973638,27341525.651378326,27185834.24291526,27753932.437293567,27742810.89463057,27544232.666402083,27341053.16010795,27320817.575975012,27307000.666447785,27721240.188237328,27734009.810017224,27585477.669909004,26993245.16971643,27161706.022631854,27310481.51450012,27099298.596338347,27762234.925326172,37226.45,-0.014731212734602761
2026-02-20,988963115.4937725,0.0008725972407750415,996921093.7610415,988963115.4937725,0.0,0.0,27265498.817188576,28301394.896315023,27404798.767303783,27908189.27928038,27861943.572146706,27008492.880068906,28253968.253968254,27010999.52175992,27826313.375339273,27024770.412619192,28068761.942354534,27305119.064159546,27138091.25129486,26566999.128084224,27489966.490847256,27770128.11650597,26692913.586073346,27362147.008012827,28007404.960469473,26050134.910615988,27506234.17736067,27509009.587135397,27772327.414238527,28029075.436136097,27804339.964470856,27195128.83907417,27357508.94546296,27498799.157595467,28223289.08053531,27946721.492201153,27485364.83455835,27629155.18933867,26836401.686942063,26909942.721881084,27265892.645086326,27675888.08734738,37384.87,0.004255576344239342
2026-02-23,996033095.5712795,0.007148881456491063,1000756260.0115787,996033095.5712795,0.0,0.0,27315355.729311436,26774522.82219547,27164593.608532913,28372495.171101306,28236610.693786904,27436147.148332797,29079365.07936508,26838833.094213292,28413091.293808915,27141794.086579237,28414106.13990337,27627801.070214555,27389276.846075732,26675588.54888087,27586561.332687996,28024006.17435695,26417321.733289503,27176000.261711657,28659879.2670856,25771873.199427444,27610844.91732491,28119450.79709279,27549543.804571763,28500256.917710666,28115565.003368936,26929957.459802374,27470913.635987636,27665411.104425285,28624929.519460514,28154182.300518494,27578275.383554455,27720521.443271667,27549663.916899048,28006155.52987923,27714415.0840232,28207785.452527586,37528.69,0.0038470108362018696
2026-02-24,993162844.1147642,-0.002881682816843645,993071527.6372235,993162844.1147642,0.0,0.0,27366460.281447135,27546892.28187382,27353108.438815337,28269829.420310866,28254937.39739233,27609420.763484523,29496826.171875,26544715.44715447,28256615.590480033,26595353.401185453,28361343.553776782,27550539.02516353,27154836.957613584,26231450.509424485,27298750.045757476,27308273.470225323,26351705.936622117,27520225.395199575,28988915.202511363,25878339.140534263,27922454.6140944,27923587.43512305,27128503.221164852,28816747.327584814,27693080.142310377,26558086.606193706,27977905.179191906,27680910.88014916,28262637.533493474,27807541.278119627,27485364.83455835,27757067.944844864,27641229.298352387,27268320.488645382,27680241.945818488,27620626.954271793,37240.51,-0.007678925110362278
2026-02-25,1000893609.5041754,0.007783985713140318,997298423.7738707,1000893609.5041754,0.0,0.0,27802708.26252215,26994414.196742237,27751426.282272194,28264279.065860443,28568519.649765827,28096058.490926027,30190476.19047619,26886657.101865135,28393531.499280933,27131617.709879123,28692299.01965985,27632344.754190914,27191678.738006942,26842872.04912321,27608245.29969995,27816027.83503205,26968502.935774993,27696029.55350786,29205940.03193213,25929151.557925317,28378740.24150686,27744046.01998412,27430998.39759312,28674503.861449096,27885527.82829842,26580053.9760246,28258085.305538718,27093891.757380083,28136449.516143557,28466686.231461156,28319389.94608934,27866707.449564464,27744845.930016596,27384264.817579083,27853243.457979854,27413394.543122686,37399.02,0.004256386392130329
2026-02-26,1003756828.6407509,0.0028606628210903207,999204007.0047385,1003756828.6407509,0.0,0.0,27750356.070373613,26736042.838232614,27711899.03901382,28423365.140612744,28415801.262471996,28461039.036667734,30349206.349206347,26838833.094213292,28671708.758824524,27223198.8893918,28730669.946606595,27750508.276794706,27493101.45174399,26939722.65403072,27694983.5741363,27919299.137649078,27276902.68689253,28501189.65911443,29142932.823390618,25679927.62359962,28503383.576810468,27717929.3111147,28187236.338663787,28653168.209713954,27918606.064797297,26923680.794797942,28057957.225521885,27254693.062013756,28261282.63222559,28642632.179593883,28479280.351486202,27804577.95076574,27474962.04959239,27004807.54310953,27631118.05964921,27530824.977927588,37470.48,0.001910745254822377
2026-02-27,991036658.7628701,-0.012672561236874436,987201445.9606087,991036658.7628701,0.0,0.0,27852565.17464501,26341611.67855652,27191957.76656121,28449260.773174763,28179597.320587706,28416798.629583802,30336507.161458332,27175992.348158773,27954535.74736163,27014597.14131325,28764245.605502773,27700516.65736737,27288802.608163383,26399715.627841886,27182442.069107953,27273849.11905457,27368765.803459745,28269245.175746266,28752289.49777717,24249903.508687362,28149483.44921808,27107490.093582455,27510709.964354623,28045078.260168973,27264580.889585238,26024602.642094042,27604332.355998863,27004773.959302157,27642539.969603967,28072774.521616213,27870687.154526755,27596262.445674215,27224359.581209257,26962644.506810565,27075804.563822605,27717334.99119262,37020.38,-0.012012122609585063
