date,Total_Portfolio_Value,daily_pf_return,index_fund,total_stock_value,Cash_In_Hand,cash_pct,Aarti Industries,Akums Drugs,Alok Industries,B P C L,Bank of Maha,Bharat Electron,Campus Activewe.,Can Fin Homes,Capri Global,Central Bank,Equitas Sma. Fin,FSN E-Commerce,H P C L,IRB Infra.Devl.,JK Tyre & Indust,Karur Vysya Bank,Minda Corp,R R Kabel,RBL Bank,Sona BLW Precis.,Trident,Ujjivan Small,Union Bank (I),Yes Bank,ZF Commercial,index_value,daily_index_return
2026-02-16,1000000000.0,,1000000000.0,1000000000.0,0.0,0.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,37500.33,
2026-02-17,1000000000.0,0.0,1002886641.2642235,1000000000.0,0.0,0.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,37608.58,0.002886641264223444
2026-02-18,1000000000.0,0.0,1007538866.9913037,1000000000.0,0.0,0.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,37783.04,0.004638835074336711
2026-02-19,992127191.5563219,-0.007872808443678103,992696597.6032743,867089629.516439,125037562.03988284,12.602977027949406,39795673.53008372,0.0,39759999.59309895,39035567.856193356,40440019.5980287,39204532.67386998,39562302.85376405,39401100.498826005,39394755.08793829,40158189.08649246,39104925.12156112,39191148.16583372,38230829.69581673,38768502.7835876,38864112.34892204,39636099.73559531,38869128.6900507,40260798.61826232,0.0,39936974.126424804,39327093.38088018,39825048.88369338,0.0,39747154.52996514,38575672.65755041,37226.45,-0.014731212734602761
2026-02-20,991441204.6136494,-0.0006914304420951867,996921093.7610415,866403642.5737666,125037562.03988284,12.611697139277988,39462910.22491746,0.0,39253334.045410156,38892229.747299224,40903821.46437801,39726838.42269183,39127068.57568215,39243806.79536762,39417538.548480816,40400740.67952838,39367612.028174095,38915669.39417164,37927164.846542925,38437795.56394562,37512194.271287024,40020676.10836495,39578184.96411659,40752266.88463575,0.0,40243278.94876966,38750317.519508764,40023468.48643543,0.0,39898864.70556179,38547860.34849666,37384.87,0.004255576344239342
2026-02-23,996036018.7764922,0.004634479726544516,1000756260.0115787,829240891.9664922,166795126.81000006,16.745893086766817,39117014.796287395,0.0,39413332.62125651,39508051.893599235,0.0,39600764.90554827,39709840.8129446,40207510.968377985,39305905.153851226,40611652.30972902,38789703.50578776,39084183.4846741,38596105.87324439,38040943.29593688,37111497.407175526,40386640.95487933,39316955.666951485,40975401.70427798,0.0,40542022.51274664,40328863.96302609,39549819.32988986,0.0,39614411.74328774,39430269.06302016,37528.69,0.0038470108362018696
2026-02-24,992992437.2408345,-0.0030556942502907303,993071527.6372235,700731540.6296916,292260896.6111428,29.432338621151008,39388476.15189409,0.0,38800000.5086263,39757565.89941771,0.0,39177515.153498575,38750844.07827103,39159620.06172837,38189585.11262732,0.0,38112564.239521936,38297308.89770705,39348662.84946416,37946456.54873585,37264808.362369336,0.0,38923413.759761855,0.0,0.0,40042859.440492265,39266381.503649354,38877748.128935546,0.0,39481668.956610344,39946060.9763806,37240.51,-0.007678925110362278
2026-02-25,997251879.0647306,0.004289500769745658,997298423.7738707,704990982.4535879,292260896.6111428,29.306627818564625,39962053.84647196,0.0,38666666.666666664,40458324.22693349,0.0,39560239.999089435,38824613.057861306,39361222.003026314,38690789.95815095,0.0,38357735.122811094,39069529.50222594,38437673.67386476,38834644.227515996,37337978.24341246,0.0,39296600.83649449,0.0,0.0,40992028.173304066,39433341.33731388,39184980.60818133,0.0,39292034.85408421,39230526.1161796,37399.02,0.004256386392130329
2026-02-26,998846882.3177624,0.0015993985937912125,999204007.0047385,706585985.7066196,292260896.6111428,29.259829688106898,39905134.616179906,0.0,38666666.666666664,40983896.21280154,0.0,40438255.82132729,38455768.159909934,39301406.963686995,38244259.85590058,0.0,38544532.6224986,39201406.400724195,39080207.54326228,39278739.86912525,36979095.77798345,0.0,38841990.2965645,0.0,0.0,41245390.338615194,38886922.86207773,39428204.79487588,0.0,39898864.70556179,39205242.19885801,37470.48,0.001910745254822377
2026-02-27,984403200.4998759,-0.014460356310439515,987201445.9606087,620166412.4040772,364236788.09579873,37.0007724386553,39156419.18384814,0.0,38133333.84195963,40920190.02660068,0.0,40046527.88380919,38293475.504311085,37369568.87562641,0.0,0.0,37575521.98462082,38901019.883491084,38618110.49460884,39411022.756982036,0.0,0.0,37695286.531511,0.0,0.0,40424795.31112735,38826208.08980721,37162364.9552299,0.0,39292034.85408421,38340532.226459615,37020.38,-0.012012122609585063
2026-03-02,957950994.1794937,-0.026871312798404046,973100503.3822367,380859410.3249683,577091583.8545253,60.24228664732657,0.0,0.0,36826667.78564453,39794724.87115625,0.0,40879517.25362458,0.0,36394787.64315615,0.0,0.0,0.0,37966152.147570126,37363847.07683522,0.0,0.0,0.0,0.0,0.0,0.0,39120159.7281209,37095877.610653296,0.0,0.0,38268016.487594515,37149659.72061271,36491.59,-0.014283753975512958
2026-03-04,950156697.9172388,-0.008136424837609568,954941463.1817907,151176081.57611284,798980616.341126,84.08935263967578,0.0,0.0,0.0,37841089.015794344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37467945.810822025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37921407.151105486,0.0,0.0,0.0,37945639.598390974,0.0,35810.62,-0.018661012030443014
2026-03-05,952462870.1854782,0.002427149409454765,967213888.5177809,153482253.8443523,798980616.341126,83.88574939257592,0.0,0.0,0.0,38260485.10473804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38215251.96211847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38643685.04712303,0.0,0.0,0.0,38362831.73037275,0.0,36270.84,0.012851494891738646
2026-03-06,950870679.606667,-0.0016716563224150605,958032369.3151499,151890063.26554108,798980616.341126,84.0262123416855,0.0,0.0,0.0,37453547.64006669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37336068.91232377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38946209.24028394,0.0,0.0,0.0,38154237.47286669,0.0,35926.53,-0.0094927495475704
2026-03-09,946213132.6476221,-0.00489819179299078,939930928.6078283,37868466.802148186,908344665.8454739,95.99789249424308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37868466.802148186,0.0,0.0,0.0,0.0,0.0,35247.72,-0.01889439364169032
2026-03-10,947048854.8079985,0.0008832282405952796,952137487.8567735,38704188.962524645,908344665.8454739,95.91317926567037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38704188.962524645,0.0,0.0,0.0,0.0,0.0,35705.47,0.012986655590772944
2026-03-11,947396755.7836725,0.000367352723048775,939329067.2375416,39052089.93819856,908344665.8454739,95.87795823663178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39052089.93819856,0.0,0.0,0.0,0.0,0.0,35225.15,-0.013452280560933616
2026-03-12,946939188.8647472,-0.0004829728581314807,933195521.2127466,38594523.019273244,908344665.8454739,95.92428706371918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38594523.019273244,0.0,0.0,0.0,0.0,0.0,34995.14,-0.006529709596694411
